iter	Passed	Remaining
0	2	283
1	5	283
2	8	287
3	10	261
4	13	257
5	16	251
6	18	246
7	23	268
8	26	266
9	29	267
10	32	265
11	35	259
12	37	253
13	40	248
14	43	246
15	46	245
16	49	241
17	51	236
18	54	232
19	57	228
20	60	227
21	63	223
22	65	219
23	68	215
24	70	211
25	73	209
26	76	205
27	78	202
28	81	198
29	83	195
30	86	191
31	88	188
32	92	188
33	95	185
34	97	181
35	100	178
36	104	177
37	106	174
38	109	170
39	111	167
40	114	164
41	115	159
42	118	156
43	120	153
44	123	150
45	125	147
46	128	144
47	131	141
48	133	139
49	136	136
50	138	133
51	141	130
52	143	127
53	146	124
54	148	121
55	150	118
56	153	115
57	156	113
58	159	110
59	162	108
60	165	105
61	167	102
62	170	100
63	173	97
64	176	95
65	179	92
66	181	89
67	184	86
68	187	84
69	190	81
70	193	78
71	195	76
72	198	73
73	201	70
74	203	67
75	206	65
76	208	62
77	211	59
78	215	57
79	218	54
80	221	51
81	223	49
82	227	46
83	229	43
84	233	41
85	236	38
86	239	35
87	241	32
88	244	30
89	246	27
90	249	24
91	252	21
92	255	19
93	257	16
94	260	13
95	262	10
96	265	8
97	268	5
98	270	2
99	273	0
